,devs,genders,countries
1096,14382,None,canada
1097,209444,male,taiwan
1098,259674,male,slovakia
1099,179964,male,canada
1100,164908,male,united states
1101,1733,male,canada
1102,14757,male,united states
1103,404738,None,None
1104,112779,male,estonia
1105,49291,male,united states
1106,130334,male,united kingdom
1107,603554,None,None
1108,186767,male,united states
1109,80681,male,denmark
1110,67333,male,united kingdom
1111,79631,male,united states
1112,807092,male,None
1113,6888,male,None
1114,677388,male,None
1115,5027,male,united states
1116,40154,male,ireland
1117,257267,male,None
1118,714449,male,united states
1119,1777,male,belgium
1120,33123,male,spain
1121,168789,male,None
1122,168441,None,None
1123,128506,male,netherlands
1124,168762,male,None
1125,168772,male,belgium
1126,274237,male,ukraine
1127,26414,male,italy
1128,13304,male,united states
1129,42247,male,united kingdom
1130,26421,male,None
1131,42226,None,None
1132,6585,male,None
1133,992487,male,None
1134,2643127,male,None
1135,1839796,male,None
1136,1577,male,united states
1137,7103,male,united states
1138,27743,male,united states
1139,98941,male,united states
1140,53166,male,netherlands
1141,276742,male,united states
1142,350759,male,united kingdom
1143,143290,male,None
1144,37362,female,canada
1145,1732,male,canada
1146,61957,male,france
1147,157540,male,germany
1148,67552,male,germany
1149,157498,male,germany
1150,749310,male,None
1151,749312,male,None
1152,7035,female,None
1153,131992,male,None
1154,268211,male,None
1155,198659,male,None
1156,2058010,male,None
1157,1176271,female,None
1158,203598,male,spain
1159,1112406,male,None
1160,643533,male,None
1161,255893,male,None
1162,55533,male,germany
1163,138779,male,None
1164,14983,male,sweden
1165,72470,male,germany
1166,29080,male,romania
1167,37898,male,austria
1168,1418013,male,romania
1169,383176,male,italy
1170,1537331,male,None
1171,1799095,male,None
1172,141592,male,None
1173,1574342,female,None
1174,141588,male,None
1175,141587,None,None
1176,141586,male,None
1177,141585,male,None
1178,141584,male,None
1179,141600,male,None
1180,180109,male,None
1181,778369,male,None
1182,778483,male,None
1183,1574460,female,None
1184,749596,male,None
1185,135339,male,united kingdom
1186,478507,male,None
1187,823342,male,None
1188,1574439,male,None
1189,1574450,male,None
1190,1521896,male,None
1191,141596,male,None
1192,141582,male,None
1193,79998,male,None
1194,68912,male,united states
1195,114101,male,united states
1196,141569,male,united states
1197,1467972,male,None
1198,1258939,male,None
1199,44269,male,united states
1200,1881290,male,None
1201,954425,male,vietnam
1202,1634053,None,None
1203,1073717,male,None
1204,1924420,None,None
1205,15222,male,philippines
1206,155819,male,None
1207,220059,male,None
1208,743451,male,france
1209,118824,male,united states
1210,106366,male,united kingdom
1211,540333,male,united states
1212,51090,male,united states
1213,40900,None,china
1214,121910,male,united states
1215,60439,male,australia
1216,121915,male,new zealand
1217,47925,male,united states
1218,200897,male,None
1219,123586,male,united states
1220,92376,male,canada
1221,227264,male,united states
1222,71593,male,united states
1223,754122,female,None
1224,750992,male,None
1225,1344380,male,norway
1226,306026,male,norway
1227,1399977,male,None
1228,778453,male,None
1229,42033,male,None
1230,42035,male,belgium
1231,1796993,None,None
1232,1026672,male,romania
1233,220219,male,canada
1234,1428205,None,None
1235,141058,male,None
1236,19813,male,united states
1237,96899,male,None
1238,112869,male,None
1239,112867,male,None
1240,15414,male,None
1241,1546652,male,None
1242,1616831,male,united states
1243,155568,male,united states
1244,7477,male,united states
1245,7020,male,united kingdom
1246,37771,male,united states
1247,178644,male,united states
1248,216207,male,united states
1249,178163,male,None
1250,88553,male,None
1251,164151,male,spain
1252,257939,male,spain
1253,257937,male,None
1254,432331,male,None
1255,80934,male,spain
1256,48811,male,italy
1257,77297,male,netherlands
1258,64448,male,None
1259,3940,male,spain
1260,27780,male,spain
1261,106534,male,spain
1262,81987,male,portugal
1263,41469,male,germany
1264,231616,male,None
1265,144144,male,spain
1266,536405,female,None
1267,85708,female,united states
1268,391474,male,united states
1269,28464,male,united states
1270,1238205,male,None
1271,111695,male,poland
1272,96004,male,united states
1273,418795,None,australia
1274,42398,male,australia
1275,143297,female,None
1276,1612222,male,czech republic
1277,93209,male,czech republic
1278,289448,male,None
1279,1751648,None,None
1280,820859,male,None
1281,17377,male,mexico
1282,163848,male,australia
1283,134504,male,None
1284,16582,male,mexico
1285,93482,male,france
1286,16730,male,None
1287,150440,male,germany
1288,71468,None,spain
1289,28637,male,belgium
1290,277077,male,None
1291,150475,male,None
1292,1152306,male,None
1293,328383,male,None
1294,1288846,male,None
1295,98182,male,slovenia
1296,1313211,None,None
1297,150483,male,estonia
1298,1636367,male,None
1299,1866504,male,None
1300,31089,male,france
1301,1226998,male,united kingdom
1302,111662,male,united kingdom
1303,95469,male,australia
1304,2776384,male,None
1305,2984363,None,None
1306,16581,None,None
1307,167549,male,None
1308,682923,male,None
1309,35199,male,united states
1310,153212,male,None
1311,762754,male,None
1312,1536135,male,None
1313,831087,None,None
1314,410592,male,brazil
1315,69558,male,None
1316,1133012,male,None
1317,2721301,male,None
1318,869197,None,None
1319,9439,male,norway
1320,452924,male,None
1321,351209,male,ireland
1322,1645491,male,None
1323,75002,male,united states
1324,442298,male,None
1325,250314,male,None
1326,919313,male,brazil
1327,74151,male,japan
1328,28131,male,china
1329,3982,male,russia
1330,319693,male,hungary
1331,89508,male,united kingdom
1332,9793,male,united states
1333,4611,male,macedonia
1334,34594,male,united states
1335,359899,male,france
1336,87305,male,None
1337,154330,male,germany
1338,130544,male,None
1339,82269,male,united kingdom
1340,1033300,male,None
1341,138626,male,germany
1342,439601,male,united states
1343,34552,male,None
1344,159029,male,None
1345,59622,male,bulgaria
1346,420277,male,None
1347,23982,male,united states
1348,51375,male,None
1349,37845,male,new zealand
1350,248856,male,united states
1351,428220,male,None
1352,1625592,male,None
1353,209361,male,united states
1354,72315,male,united states
1355,7046,male,germany
1356,7118,male,united kingdom
1357,111386,male,None
